Vernier Format 2
Silicon	17:23  Tuesday, February 21, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.153750002
0.100000009	0.146249995
0.200000018	0.161249995
0.300000012	0.147499993
0.400000036	0.148749992
0.500000000	0.142499998
0.600000024	0.152500004
0.700000048	0.149999991
0.800000072	0.149999991
0.900000036	0.148749992
1.000000000	0.148749992
1.100000024	0.140000001
1.200000048	0.146249995
1.300000072	0.144999996
1.400000095	0.166249990
1.500000119	0.157499999
1.600000143	0.202500001
1.700000048	0.294999987
1.800000072	0.363749981
1.900000095	0.301249981
2.000000000	0.221249998
2.100000143	0.189999998
2.200000048	0.161249995
2.300000191	0.153750002
2.400000095	0.163749993
2.500000238	0.172499999
2.600000143	0.159999996
2.700000048	0.163749993
2.800000191	0.159999996
2.900000095	0.153750002
3.000000238	0.146249995
3.100000143	0.153750002
3.200000286	0.146249995
3.300000191	0.147499993
3.400000095	0.151249990
3.500000238	0.141249999
3.600000143	0.146249995
3.700000286	0.143749997
3.800000191	0.157499999
3.900000095	0.152500004
4.000000000	0.164999992
4.100000381	0.178749993
4.200000286	0.171250001
4.300000191	0.162499994
4.400000095	0.157499999
4.500000000	0.159999996
4.600000381	0.159999996
4.700000286	0.167499989
4.800000191	0.174999997
4.900000095	0.158749998
5.000000477	0.157499999
5.100000381	0.153750002
5.200000286	0.156250000
5.300000191	0.221249998
5.400000095	0.283749998
5.500000477	0.272500008
5.600000381	0.232500002
5.700000286	0.207499996
5.800000191	0.177499995
5.900000095	0.159999996
6.000000477	0.168750003
6.100000381	0.168750003
6.200000286	0.174999997
6.300000191	0.170000002
6.400000572	0.164999992
6.500000477	0.152500004
6.600000381	0.163749993
6.700000286	0.148749992
6.800000191	0.159999996
6.900000572	0.153750002
7.000000477	0.162499994
7.100000381	0.158749998
7.200000286	0.176249996
7.300000191	0.163749993
7.400000572	0.164999992
7.500000477	0.172499999
7.600000381	0.163749993
7.700000286	0.167499989
7.800000191	0.162499994
7.900000572	0.157499999
8.000000000	0.164999992
8.100000381	0.152500004
8.200000763	0.152500004
8.300000191	0.158749998
8.400000572	0.159999996
8.500000000	0.158749998
8.600000381	0.172499999
8.700000763	0.172499999
8.800000191	0.172499999
8.900000572	0.163749993
9.000000000	0.174999997
9.100000381	0.168750003
9.200000763	0.155000001
9.300000191	0.162499994
9.400000572	0.162499994
9.500000954	0.158749998
9.600000381	0.164999992
9.700000763	0.158749998
9.800000191	0.164999992
9.900000572	0.164999992
10.000000954	0.164999992
10.100000381	0.163749993
10.200000763	0.158749998
10.300000191	0.161249995
10.400000572	0.170000002
10.500000954	0.173749998
10.600000381	0.183749989
10.700000763	0.168750003
10.800000191	0.172499999
10.900000572	0.179999992
11.000000954	0.176249996
11.100000381	0.166249990
11.200000763	0.178749993
11.300000191	0.181249991
11.400000572	0.177499995
11.500000954	0.193749994
11.600000381	0.186250001
11.700000763	0.206249997
11.800000191	0.329999983
11.900000572	0.574999988
12.000000954	0.628749967
12.100000381	0.442499995
