Vernier Format 2
Unknown50	16:47  Thursday, March 09, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.256249994
0.050000004	0.243749991
0.100000009	0.257499993
0.150000006	0.253749996
0.200000018	0.254999995
0.250000000	0.264999986
0.300000012	0.268749982
0.350000024	0.289999992
0.400000036	0.301249981
0.450000018	0.294999987
0.500000000	0.311250001
0.550000012	0.310000002
0.600000024	0.283749998
0.650000036	0.286249995
0.700000048	0.282499999
0.750000060	0.275000006
0.800000072	0.283749998
0.850000024	0.272500008
0.900000036	0.286249995
0.950000048	0.292499989
1.000000000	0.298749983
1.050000072	0.314999998
1.100000024	0.328749985
1.150000095	0.373750001
1.200000048	0.362499982
1.250000119	0.379999995
1.300000072	0.359999985
1.350000024	0.334999979
1.400000095	0.297499985
1.450000048	0.291249990
1.500000119	0.269999981
1.550000072	0.261249989
1.600000143	0.275000006
1.650000095	0.257499993
1.700000048	0.257499993
1.750000119	0.252499998
1.800000072	0.242499992
1.850000143	0.253749996
1.900000095	0.244999990
1.950000048	0.229999989
2.000000000	0.251249999
2.050000191	0.237499997
2.100000143	0.238749996
2.150000095	0.231249988
2.200000048	0.243749991
2.250000000	0.231249988
2.300000191	0.213749990
2.350000143	0.223749995
2.400000095	0.231249988
2.450000048	0.237499997
2.500000238	0.227499992
2.550000191	0.222499996
2.600000143	0.238749996
2.650000095	0.229999989
2.700000048	0.223749995
2.750000238	0.224999994
2.800000191	0.214999989
2.850000143	0.224999994
2.900000095	0.227499992
2.950000048	0.231249988
3.000000238	0.222499996
3.050000191	0.218750000
3.100000143	0.211249992
3.150000095	0.214999989
3.200000286	0.218750000
3.250000238	0.219999999
3.300000191	0.211249992
3.350000143	0.224999994
3.400000095	0.221249998
3.450000286	0.223749995
3.500000238	0.223749995
3.550000191	0.224999994
3.600000143	0.223749995
3.650000095	0.218750000
3.700000286	0.222499996
3.750000238	0.212499991
3.800000191	0.228749990
3.850000143	0.229999989
3.900000095	0.224999994
3.950000286	0.233750001
4.000000000	0.223749995
4.050000191	0.224999994
4.100000381	0.219999999
4.150000095	0.236249998
4.200000286	0.226249993
4.250000000	0.217500001
4.300000191	0.229999989
4.350000381	0.228749990
4.400000095	0.224999994
4.450000286	0.212499991
4.500000000	0.211249992
4.550000191	0.217500001
4.600000381	0.214999989
4.650000095	0.227499992
4.700000286	0.222499996
4.750000477	0.229999989
4.800000191	0.227499992
4.850000381	0.227499992
4.900000095	0.221249998
4.950000286	0.226249993
5.000000477	0.226249993
5.050000191	0.218750000
5.100000381	0.223749995
5.150000095	0.219999999
5.200000286	0.213749990
5.250000477	0.213749990
5.300000191	0.221249998
5.350000381	0.211249992
5.400000095	0.219999999
5.450000286	0.218750000
5.500000477	0.232500002
5.550000191	0.216250002
5.600000381	0.218750000
5.650000095	0.217500001
5.700000286	0.212499991
5.750000477	0.221249998
5.800000191	0.218750000
5.850000381	0.219999999
5.900000095	0.218750000
5.950000286	0.218750000
6.000000477	0.214999989
6.050000191	0.217500001
