Vernier Format 2
Untitled	17:22  Thursday, March 09, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.261249989
0.050000004	0.263749987
0.100000009	0.254999995
0.150000006	0.251249999
0.200000018	0.259999990
0.250000000	0.258749992
0.300000012	0.256249994
0.350000024	0.267499983
0.400000036	0.251249999
0.450000018	0.258749992
0.500000000	0.266249985
0.550000012	0.258749992
0.600000024	0.257499993
0.650000036	0.254999995
0.700000048	0.263749987
0.750000060	0.263749987
0.800000072	0.262499988
0.850000024	0.254999995
0.900000036	0.258749992
0.950000048	0.242499992
1.000000000	0.258749992
1.050000072	0.259999990
1.100000024	0.259999990
1.150000095	0.250000000
1.200000048	0.250000000
1.250000119	0.246249989
1.300000072	0.244999990
1.350000024	0.256249994
1.400000095	0.250000000
1.450000048	0.259999990
1.500000119	0.254999995
1.550000072	0.272500008
1.600000143	0.278750002
1.650000095	0.275000006
1.700000048	0.263749987
1.750000119	0.293749988
1.800000072	0.328749985
1.850000143	0.407499999
1.900000095	0.578750014
1.950000048	0.838750005
2.000000000	1.100000024
2.050000191	1.117499948
2.100000143	0.973749995
2.150000095	0.737500012
2.200000048	0.471249998
2.250000000	0.378749996
2.300000191	0.329999983
2.350000143	0.298749983
2.400000095	0.286249995
2.450000048	0.277500004
2.500000238	0.275000006
2.550000191	0.267499983
2.600000143	0.268749982
2.650000095	0.275000006
2.700000048	0.264999986
2.750000238	0.272500008
2.800000191	0.268749982
2.850000143	0.267499983
2.900000095	0.254999995
2.950000048	0.263749987
3.000000238	0.256249994
3.050000191	0.258749992
3.100000143	0.262499988
3.150000095	0.252499998
3.200000286	0.256249994
3.250000238	0.244999990
3.300000191	0.253749996
3.350000143	0.250000000
3.400000095	0.254999995
3.450000286	0.256249994
3.500000238	0.253749996
3.550000191	0.266249985
3.600000143	0.261249989
3.650000095	0.253749996
3.700000286	0.262499988
3.750000238	0.256249994
3.800000191	0.256249994
3.850000143	0.256249994
3.900000095	0.250000000
3.950000286	0.258749992
4.000000000	0.254999995
4.050000191	0.248750001
4.100000381	0.268749982
4.150000095	0.268749982
4.200000286	0.262499988
4.250000000	0.261249989
4.300000191	0.269999981
4.350000381	0.271249980
4.400000095	0.280000001
4.450000286	0.275000006
4.500000000	0.272500008
4.550000191	0.262499988
4.600000381	0.262499988
4.650000095	0.268749982
4.700000286	0.259999990
4.750000477	0.267499983
4.800000191	0.263749987
4.850000381	0.275000006
4.900000095	0.269999981
4.950000286	0.267499983
5.000000477	0.258749992
5.050000191	0.271249980
5.100000381	0.275000006
5.150000095	0.262499988
5.200000286	0.250000000
5.250000477	0.258749992
5.300000191	0.271249980
5.350000381	0.248750001
5.400000095	0.258749992
5.450000286	0.257499993
5.500000477	0.259999990
5.550000191	0.254999995
5.600000381	0.277500004
5.650000095	0.248750001
5.700000286	0.253749996
5.750000477	0.261249989
5.800000191	0.267499983
5.850000381	0.261249989
5.900000095	0.281250000
5.950000286	0.282499999
6.000000477	0.271249980
6.050000191	0.258749992
