Vernier Format 2
Untitled	15:56  Thursday, February 23, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.603749990
0.033333343	0.601249993
0.066666685	0.607499957
0.100000031	0.602499962
0.133333370	0.612500012
0.166666701	0.598749995
0.200000063	0.583750010
0.233333409	0.597499967
0.266666740	0.598749995
0.300000072	0.610000014
0.333333403	0.604999959
0.366666794	0.611249983
0.400000125	0.594999969
0.433333457	0.608749986
0.466666818	0.613749981
0.500000179	0.603749990
0.533333480	0.581250012
0.566666842	0.591250002
0.600000143	0.582499981
0.633333504	0.592499971
0.666666806	0.603749990
0.700000226	0.571249962
0.733333588	0.581250012
0.766666889	0.613749981
0.800000250	0.613749981
0.833333552	0.598749995
0.866666913	0.596249998
0.900000215	0.569999993
0.933333635	0.601249993
0.966666996	0.591250002
1.000000358	0.596249998
1.033333659	0.606249988
1.066666961	0.607499957
1.100000262	0.621249974
1.133333683	0.606249988
1.166666985	0.598749995
1.200000286	0.589999974
1.233333707	0.578750014
1.266667008	0.593750000
1.300000310	0.584999979
1.333333611	0.587499976
1.366667151	0.589999974
1.400000453	0.594999969
1.433333755	0.612500012
1.466667175	0.596249998
1.500000477	0.616249979
1.533333778	0.661249995
1.566667080	0.618749976
1.600000501	0.598749995
1.633333802	0.648750007
1.666667104	0.673749983
1.700000525	0.682500005
1.733333826	0.661249995
1.766667128	0.667499959
1.800000429	0.701249957
1.833333850	0.707499981
1.866667271	0.685000002
1.900000572	0.682500005
1.933333993	0.657499969
1.966667295	0.649999976
2.000000715	0.637499988
2.033334017	0.649999976
2.066667318	0.631249964
2.100000620	0.633749962
2.133333921	0.608749986
2.166667223	0.596249998
2.200000525	0.616249979
2.233334064	0.617500007
2.266667366	0.601249993
2.300000668	0.606249988
2.333333969	0.613749981
2.366667271	0.598749995
2.400000572	0.613749981
2.433333874	0.621249974
2.466667414	0.581250012
2.500000715	0.601249993
2.533334017	0.596249998
2.566667318	0.601249993
2.600000620	0.589999974
2.633333921	0.592499971
2.666667223	0.599999964
2.700001001	0.618749976
2.733334303	0.610000014
2.766667604	0.620000005
2.800000906	0.593750000
2.833334208	0.589999974
2.866667509	0.597499967
2.900000811	0.584999979
2.933334351	0.604999959
2.966667652	0.591250002
3.000000954	0.625000000
3.033334255	0.597499967
3.066667557	0.608749986
3.100000858	0.610000014
3.133334160	0.613749981
3.166667700	0.606249988
3.200001001	0.604999959
3.233334303	0.603749990
3.266667604	0.606249988
3.300000906	0.602499962
3.333334208	0.591250002
3.366667509	0.623749971
3.400001049	0.602499962
3.433334351	0.607499957
3.466667652	0.613749981
3.500000954	0.621249974
3.533334255	0.620000005
3.566667557	0.607499957
3.600000858	0.616249979
3.633334398	0.623749971
3.666667700	0.654999971
3.700001001	0.643750012
3.733334541	0.689999998
3.766667843	0.778750002
3.800001144	0.941249967
3.833334446	1.117499948
3.866667986	1.371249914
3.900001287	1.529999971
3.933334589	1.659999967
3.966667891	1.649999976
4.000001431	1.577499986
4.033334732	1.429999948
