Vernier Format 2
Untitled	17:37  Tuesday, February 28, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.352499992
0.050000004	0.363749981
0.100000009	0.373750001
0.150000006	0.362499982
0.200000018	0.370000005
0.250000000	0.359999985
0.300000012	0.346249998
0.350000024	0.353749990
0.400000036	0.356249988
0.450000018	0.361249983
0.500000000	0.352499992
0.550000012	0.359999985
0.600000024	0.354999989
0.650000036	0.362499982
0.700000048	0.362499982
0.750000060	0.364999980
0.800000072	0.364999980
0.850000024	0.361249983
0.900000036	0.354999989
0.950000048	0.361249983
1.000000000	0.361249983
1.050000072	0.378749996
1.100000024	0.384999990
1.150000095	0.358749986
1.200000048	0.353749990
1.250000119	0.353749990
1.300000072	0.370000005
1.350000024	0.361249983
1.400000095	0.364999980
1.450000048	0.344999999
1.500000119	0.359999985
1.550000072	0.377499998
1.600000143	0.358749986
1.650000095	0.363749981
1.700000048	0.386249989
1.750000119	0.377499998
1.800000072	0.379999995
1.850000143	0.347499996
1.900000095	0.364999980
1.950000048	0.357499987
2.000000000	0.378749996
2.050000191	0.362499982
2.100000143	0.386249989
2.150000095	0.353749990
2.200000048	0.389999986
2.250000000	0.382499993
2.300000191	0.379999995
2.350000143	0.348749995
2.400000095	0.377499998
2.450000048	0.372500002
2.500000238	0.376249999
2.550000191	0.386249989
2.600000143	0.382499993
2.650000095	0.388749987
2.700000048	0.409999996
2.750000238	0.412499994
2.800000191	0.419999987
2.850000143	0.426249981
2.900000095	0.442499995
2.950000048	0.442499995
3.000000238	0.456249982
3.050000191	0.467500001
3.100000143	0.516250014
3.150000095	0.545000017
3.200000286	0.576250017
3.250000238	0.602499962
3.300000191	0.703749955
3.350000143	0.759999990
3.400000095	0.859999955
3.450000286	0.972499967
3.500000238	1.057500005
3.550000191	1.198750019
3.600000143	1.271250010
3.650000095	1.391250014
3.700000286	1.466249943
3.750000238	1.519999981
3.800000191	1.539999962
3.850000143	1.466249943
3.900000095	1.424999952
3.950000286	1.352499962
4.000000000	1.286249995
4.050000191	1.214999914
4.100000381	1.123749971
4.150000095	1.043749928
4.200000286	0.897499979
4.250000000	0.813749969
4.300000191	0.764999986
4.350000381	0.706250012
4.400000095	0.672500014
4.450000286	0.652499974
4.500000000	0.626249969
4.550000191	0.579999983
4.600000381	0.539999962
4.650000095	0.547500014
4.700000286	0.533749998
4.750000477	0.516250014
4.800000191	0.497500002
4.850000381	0.465000004
4.900000095	0.459999979
4.950000286	0.439999998
5.000000477	0.449999988
5.050000191	0.421249986
5.100000381	0.405000001
5.150000095	0.408749998
5.200000286	0.407499999
5.250000477	0.408749998
5.300000191	0.416249990
5.350000381	0.388749987
5.400000095	0.389999986
5.450000286	0.407499999
5.500000477	0.394999981
5.550000191	0.387499988
5.600000381	0.389999986
5.650000095	0.359999985
5.700000286	0.375000000
5.750000477	0.373750001
5.800000191	0.375000000
5.850000381	0.376249999
5.900000095	0.366249979
5.950000286	0.359999985
6.000000477	0.366249979
6.050000191	0.363749981
