Vernier Format 2
Untitled	16:41  Tuesday, February 28, 2023
Latest
Time	Potential
Time	V
min	V

0.000000000	0.612500012
0.050000004	0.594999969
0.100000009	0.576250017
0.150000006	0.586250007
0.200000018	0.592499971
0.250000000	0.562500000
0.300000012	0.571249962
0.350000024	0.593750000
0.400000036	0.589999974
0.450000018	0.577499986
0.500000000	0.574999988
0.550000012	0.563749969
0.600000024	0.551249981
0.650000036	0.564999998
0.700000048	0.591250002
0.750000060	0.592499971
0.800000072	0.583750010
0.850000024	0.606249988
0.900000036	0.571249962
0.950000048	0.587499976
1.000000000	0.579999983
1.050000072	0.598749995
1.100000024	0.564999998
1.150000095	0.589999974
1.200000048	0.563749969
1.250000119	0.558749974
1.300000072	0.572499990
1.350000024	0.548749983
1.400000095	0.578750014
1.450000048	0.603749990
1.500000119	0.599999964
1.550000072	0.599999964
1.600000143	0.591250002
1.650000095	0.592499971
1.700000048	0.602499962
1.750000119	0.581250012
1.800000072	0.574999988
1.850000143	0.578750014
1.900000095	0.601249993
1.950000048	0.576250017
2.000000000	0.577499986
2.050000191	0.584999979
2.100000143	0.591250002
2.150000095	0.584999979
2.200000048	0.568749964
2.250000000	0.562500000
2.300000191	0.567499995
2.350000143	0.555000007
2.400000095	0.546249986
2.450000048	0.561249971
2.500000238	0.579999983
2.550000191	0.566249967
2.600000143	0.568749964
2.650000095	0.573749959
2.700000048	0.577499986
2.750000238	0.573749959
2.800000191	0.563749969
2.850000143	0.573749959
2.900000095	0.553749979
2.950000048	0.587499976
3.000000238	0.572499990
3.050000191	0.541249990
3.100000143	0.584999979
3.150000095	0.547500014
3.200000286	0.577499986
3.250000238	0.571249962
3.300000191	0.566249967
3.350000143	0.555000007
3.400000095	0.583750010
3.450000286	0.583750010
3.500000238	0.572499990
3.550000191	0.582499981
3.600000143	0.561249971
3.650000095	0.584999979
3.700000286	0.577499986
3.750000238	0.564999998
3.800000191	0.587499976
3.850000143	0.569999993
3.900000095	0.563749969
3.950000286	0.545000017
4.000000000	0.584999979
4.050000191	0.574999988
4.100000381	0.557500005
4.150000095	0.608749986
4.200000286	0.572499990
4.250000000	0.589999974
4.300000191	0.593750000
4.350000381	0.588750005
4.400000095	0.604999959
4.450000286	0.589999974
4.500000000	0.566249967
4.550000191	0.568749964
4.600000381	0.599999964
4.650000095	0.567499995
4.700000286	0.576250017
4.750000477	0.579999983
4.800000191	0.577499986
4.850000381	0.604999959
4.900000095	0.567499995
4.950000286	0.561249971
5.000000477	0.589999974
5.050000191	0.604999959
5.100000381	0.589999974
5.150000095	0.578750014
5.200000286	0.584999979
5.250000477	0.579999983
5.300000191	0.586250007
5.350000381	0.599999964
5.400000095	0.576250017
5.450000286	0.593750000
5.500000477	0.617500007
5.550000191	0.631249964
5.600000381	0.613749981
5.650000095	0.607499957
5.700000286	0.636249959
5.750000477	0.647499979
5.800000191	0.644999981
5.850000381	0.663749993
5.900000095	0.698749959
5.950000286	0.758749962
6.000000477	0.757499993
6.050000191	0.778750002
